year,type,langs
2014,oop,1
2014,func,2
2015,oop,3
2015,func,4
2016,oop,4
2016,func,5
2017,oop,7
2017,func,5
2018,oop,9
2018,func,7
2019,oop,10
2019,func,10
2020,oop,12
2020,func,14
2021,oop,14
2021,func,17
