year,type,langs
2014,oop,2
2014,func,3
2015,oop,5
2015,func,8
2016,oop,7
2016,func,11
2017,oop,11
2017,func,15
2018,oop,13
2018,func,19
2019,oop,15
2019,func,21
2020,oop,0
2020,func,22
2021,oop,18
2021,func,23
